Combination,Accuracy,Precision,Recall,F1 Score,Next_Day_Prediction
SMA_30 Bullish_Momentum Volume_Pressure,0.4868421052631579,0.47630662020905923,0.47470238095238093,0.47137506688068487,0
SMA_30 Bearish_Momentum Bearish_Crossover,0.47368421052631576,0.45170454545454547,0.44940476190476186,0.4492753623188406,0
SMA_30 Bearish_Momentum High_Volatility,0.4342105263157895,0.4068100358422939,0.40327380952380953,0.4044104246400584,0
SMA_30 Bearish_Momentum Volume_Pressure,0.5263157894736842,0.49855072463768113,0.49851190476190477,0.49816581071166544,0
SMA_30 Bearish_Crossover High_Volatility,0.47368421052631576,0.4434782608695652,0.4419642857142857,0.44240645634629505,0
SMA_30 Bearish_Crossover Volume_Pressure,0.5526315789473685,0.5260869565217392,0.5267857142857143,0.5260454878943508,0
SMA_30 High_Volatility Volume_Pressure,0.5263157894736842,0.4910714285714286,0.4910714285714286,0.4910714285714286,0
Bullish_Momentum Bearish_Momentum Bearish_Crossover,0.618421052631579,0.31333333333333335,0.4895833333333333,0.38211382113821135,1
Bullish_Momentum Bearish_Momentum High_Volatility,0.618421052631579,0.5331262939958592,0.5119047619047619,0.4617826617826617,1
Bullish_Momentum Bearish_Momentum Volume_Pressure,0.6710526315789473,0.6904761904761905,0.5684523809523809,0.536019536019536,1
Bullish_Momentum Bearish_Crossover High_Volatility,0.6578947368421053,0.6433823529411764,0.5580357142857143,0.5268199233716475,1
Bullish_Momentum Bearish_Crossover Volume_Pressure,0.6578947368421053,0.6619047619047619,0.5505952380952381,0.5074775672981057,1
Bullish_Momentum High_Volatility Volume_Pressure,0.6842105263157895,0.6682027649769586,0.6086309523809524,0.6051948051948053,1
Bearish_Momentum Bearish_Crossover High_Volatility,0.618421052631579,0.31333333333333335,0.4895833333333333,0.38211382113821135,1
Bearish_Momentum Bearish_Crossover Volume_Pressure,0.6842105263157895,0.6909090909090909,0.59375,0.5789473684210527,1
Bearish_Momentum High_Volatility Volume_Pressure,0.6710526315789473,0.6691542288557214,0.5758928571428571,0.5534665099882492,1
Bearish_Crossover High_Volatility Volume_Pressure,0.6973684210526315,0.7321724709784412,0.6041666666666667,0.5891891891891892,1
ATR OBV RSI_14 SMA_10,0.5263157894736842,0.49855072463768113,0.49851190476190477,0.49816581071166544,0
ATR OBV RSI_14 SMA_30,0.47368421052631576,0.43452380952380953,0.43452380952380953,0.43452380952380953,0
ATR OBV RSI_14 Bullish_Momentum,0.5,0.47101449275362317,0.47023809523809523,0.4702861335289802,0
ATR OBV RSI_14 Bearish_Momentum,0.4868421052631579,0.46899224806201545,0.46726190476190477,0.4660421545667447,0
ATR OBV RSI_14 Bearish_Crossover,0.5131578947368421,0.4885304659498208,0.48809523809523814,0.48751594678330595,0
ATR OBV RSI_14 High_Volatility,0.47368421052631576,0.4434782608695652,0.4419642857142857,0.44240645634629505,0
ATR OBV RSI_14 Volume_Pressure,0.4605263157894737,0.4340501792114695,0.43154761904761907,0.4321122653544741,0
ATR OBV SMA_10 SMA_30,0.6447368421052632,0.6164021164021164,0.6145833333333333,0.6153701968134958,0
ATR OBV SMA_10 Bullish_Momentum,0.6578947368421053,0.6324404761904762,0.6324404761904762,0.632440476190476,0
ATR OBV SMA_10 Bearish_Momentum,0.6447368421052632,0.6129411764705883,0.6071428571428572,0.6089193825042881,0
ATR OBV SMA_10 Bearish_Crossover,0.6842105263157895,0.6607142857142857,0.6607142857142857,0.6607142857142857,0
ATR OBV SMA_10 High_Volatility,0.7105263157894737,0.6889880952380952,0.6889880952380952,0.6889880952380951,0
ATR OBV SMA_10 Volume_Pressure,0.6710526315789473,0.6410992616899097,0.6279761904761905,0.63113958454669,0
ATR OBV SMA_30 Bullish_Momentum,0.5657894736842105,0.5302343159486016,0.5297619047619048,0.5298969072164949,0
ATR OBV SMA_30 Bearish_Momentum,0.5657894736842105,0.543010752688172,0.5446428571428572,0.5429196282121378,0
ATR OBV SMA_30 Bearish_Crossover,0.5657894736842105,0.5366837857666911,0.5372023809523809,0.5368421052631578,0
ATR OBV SMA_30 High_Volatility,0.5921052631578947,0.5589569160997732,0.5580357142857143,0.5583880037488285,0
ATR OBV SMA_30 Volume_Pressure,0.5789473684210527,0.5352564102564102,0.5327380952380952,0.5323076923076924,0
ATR OBV Bullish_Momentum Bearish_Momentum,0.4868421052631579,0.46899224806201545,0.46726190476190477,0.4660421545667447,0
ATR OBV Bullish_Momentum Bearish_Crossover,0.5131578947368421,0.4727891156462585,0.4732142857142857,0.47291471415182756,0
ATR OBV Bullish_Momentum High_Volatility,0.5263157894736842,0.4910714285714286,0.4910714285714286,0.4910714285714286,0
ATR OBV Bullish_Momentum Volume_Pressure,0.4868421052631579,0.47630662020905923,0.47470238095238093,0.47137506688068487,0
ATR OBV Bearish_Momentum Bearish_Crossover,0.42105263157894735,0.3884057971014493,0.3854166666666667,0.3866471019809245,0
ATR OBV Bearish_Momentum High_Volatility,0.5394736842105263,0.4937254901960784,0.49404761904761907,0.49304364398704026,0
ATR OBV Bearish_Momentum Volume_Pressure,0.5,0.45384615384615384,0.45535714285714285,0.45427059712774,0
ATR OBV Bearish_Crossover High_Volatility,0.5263157894736842,0.48307692307692307,0.48363095238095244,0.48299319727891155,0
ATR OBV Bearish_Crossover Volume_Pressure,0.4342105263157895,0.38662131519274373,0.38839285714285715,0.3874414245548266,0
ATR OBV High_Volatility Volume_Pressure,0.5131578947368421,0.4727891156462585,0.4732142857142857,0.47291471415182756,0
ATR RSI_14 SMA_10 SMA_30,0.4605263157894737,0.42516507703595013,0.42410714285714285,0.4245614035087719,0
ATR RSI_14 SMA_10 Bullish_Momentum,0.5131578947368421,0.46392156862745093,0.46577380952380953,0.46407470935772827,0
ATR RSI_14 SMA_10 Bearish_Momentum,0.5131578947368421,0.45406070549630845,0.4583333333333333,0.45408658512910116,0
ATR RSI_14 SMA_10 Bearish_Crossover,0.5789473684210527,0.5352564102564102,0.5327380952380952,0.5323076923076924,0
ATR RSI_14 SMA_10 High_Volatility,0.5263157894736842,0.46464646464646464,0.46875,0.4635294117647059,0
ATR RSI_14 SMA_10 Volume_Pressure,0.5263157894736842,0.46464646464646464,0.46875,0.4635294117647059,0
ATR RSI_14 SMA_30 Bullish_Momentum,0.5131578947368421,0.4727891156462585,0.4732142857142857,0.47291471415182756,0
ATR RSI_14 SMA_30 Bearish_Momentum,0.4868421052631579,0.4530447542186353,0.45238095238095244,0.4526315789473684,0
ATR RSI_14 SMA_30 Bearish_Crossover,0.47368421052631576,0.4246153846153846,0.4270833333333333,0.42554799697656837,0
ATR RSI_14 SMA_30 High_Volatility,0.4868421052631579,0.4440665154950869,0.44494047619047616,0.4444236176194939,0
ATR RSI_14 SMA_30 Volume_Pressure,0.5,0.4439102564102564,0.4479166666666667,0.44461538461538463,0
ATR RSI_14 Bullish_Momentum Bearish_Momentum,0.5131578947368421,0.4727891156462585,0.4732142857142857,0.47291471415182756,0
ATR RSI_14 Bullish_Momentum Bearish_Crossover,0.5131578947368421,0.49577167019027485,0.4955357142857143,0.4934246081787066,0
ATR RSI_14 Bullish_Momentum High_Volatility,0.5394736842105263,0.5088041085840058,0.5089285714285714,0.5087719298245613,0
ATR RSI_14 Bullish_Momentum Volume_Pressure,0.5131578947368421,0.4885304659498208,0.48809523809523814,0.48751594678330595,0
ATR RSI_14 Bearish_Momentum Bearish_Crossover,0.5,0.47101449275362317,0.47023809523809523,0.4702861335289802,0
ATR RSI_14 Bearish_Momentum High_Volatility,0.618421052631579,0.5876795162509448,0.5863095238095238,0.5868791002811622,0
ATR RSI_14 Bearish_Momentum Volume_Pressure,0.4605263157894737,0.4422128259337562,0.43898809523809523,0.4386597009547829,0
ATR RSI_14 Bearish_Crossover High_Volatility,0.5657894736842105,0.5235294117647059,0.5223214285714286,0.5220125786163523,0
ATR RSI_14 Bearish_Crossover Volume_Pressure,0.5263157894736842,0.4910714285714286,0.4910714285714286,0.4910714285714286,0
ATR RSI_14 High_Volatility Volume_Pressure,0.5263157894736842,0.4910714285714286,0.4910714285714286,0.4910714285714286,0
ATR SMA_10 SMA_30 Bullish_Momentum,0.5131578947368421,0.4727891156462585,0.4732142857142857,0.47291471415182756,0
ATR SMA_10 SMA_30 Bearish_Momentum,0.5131578947368421,0.45406070549630845,0.4583333333333333,0.45408658512910116,0
ATR SMA_10 SMA_30 Bearish_Crossover,0.4605263157894737,0.42516507703595013,0.42410714285714285,0.4245614035087719,0
ATR SMA_10 SMA_30 High_Volatility,0.5131578947368421,0.46392156862745093,0.46577380952380953,0.46407470935772827,0
ATR SMA_10 SMA_30 Volume_Pressure,0.5263157894736842,0.48307692307692307,0.48363095238095244,0.48299319727891155,0
ATR SMA_10 Bullish_Momentum Bearish_Momentum,0.5394736842105263,0.50151171579743,0.5014880952380952,0.5014058106841612,0
ATR SMA_10 Bullish_Momentum Bearish_Crossover,0.5526315789473685,0.5123076923076924,0.5119047619047619,0.5117157974300831,0
ATR SMA_10 Bullish_Momentum High_Volatility,0.5263157894736842,0.4910714285714286,0.4910714285714286,0.4910714285714286,0
ATR SMA_10 Bullish_Momentum Volume_Pressure,0.5657894736842105,0.5366837857666911,0.5372023809523809,0.5368421052631578,0
ATR SMA_10 Bearish_Momentum Bearish_Crossover,0.5789473684210527,0.5596590909090908,0.5625,0.5594202898550724,0
ATR SMA_10 Bearish_Momentum High_Volatility,0.5394736842105263,0.50151171579743,0.5014880952380952,0.5014058106841612,0
ATR SMA_10 Bearish_Momentum Volume_Pressure,0.5394736842105263,0.4937254901960784,0.49404761904761907,0.49304364398704026,0
ATR SMA_10 Bearish_Crossover High_Volatility,0.5131578947368421,0.4727891156462585,0.4732142857142857,0.47291471415182756,0
ATR SMA_10 Bearish_Crossover Volume_Pressure,0.5789473684210527,0.5415384615384615,0.5401785714285714,0.5404383975812547,0
ATR SMA_10 High_Volatility Volume_Pressure,0.5657894736842105,0.5164068908941756,0.5148809523809524,0.5131042516016308,0
ATR SMA_30 Bullish_Momentum Bearish_Momentum,0.42105263157894735,0.3977272727272727,0.39285714285714285,0.39420289855072466,0
ATR SMA_30 Bullish_Momentum Bearish_Crossover,0.5,0.46279761904761907,0.46279761904761907,0.46279761904761907,0
ATR SMA_30 Bullish_Momentum High_Volatility,0.5,0.46279761904761907,0.46279761904761907,0.46279761904761907,0
ATR SMA_30 Bullish_Momentum Volume_Pressure,0.5,0.47101449275362317,0.47023809523809523,0.4702861335289802,0
